student;RED-exceptions-hw03;RED-exceptions-hw04;RED-exceptions-hw05;RED-exceptions-hw06;RED-exceptions-hw07;RED-exceptions-hw08;RED-compiler-hw03;RED-compiler-hw04;RED-compiler-hw05;RED-compiler-hw06;RED-compiler-hw07;RED-compiler-hw08;AvgREDCompiler_HW04;AvgREDRuntime_HW04;AvgREDCompiler_HW08;AvgREDRuntime_HW08;SumREDCompiler_HW04;SumREDRuntime_HW04;SumREDCompiler_HW08;SumREDRuntime_HW08
008a13042777e1aaca446a68fbc5b3877e6ed232;0.0;3.2;0.0;1.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.25;1.6;0.08333333333333333;0.7833333333333333;0.5;3.2;0.5;4.7
0106f488719b5b6dec8020fdf6c9e2e6d2059227;0.0;0.0;0.0;7.499999999999999;0.5;3.583333333333333;0.5;39.150000000000006;0.0;4.0;0.0;1.0;19.825000000000003;0.0;7.441666666666667;1.9305555555555554;39.650000000000006;0.0;44.650000000000006;11.583333333333332
025e11c5a647be6af45e5040241901ecd65080f3;0.0;0.0;2.0;0.5;1.8333333333333333;0.5;0.0;0.0;0.0;0.0;0.0;78.99999999999999;0.0;0.0;13.166666666666664;0.8055555555555555;0.0;0.0;78.99999999999999;4.833333333333333
03ca17c101841d13b549bea0ce51f4e0fe320d0c;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.666666666666666;0.0;0.0;0.0;0.0;0.7777777777777777;0.0;0.0;0.0;4.666666666666666;0.0
04810dc49618a521e56f3207dc85b34ec4e67375;0.0;0.0;2.0;0.0;0.0;1.5;0.0;0.0;0.0;3.5;0.0;0.0;0.0;0.0;0.5833333333333334;0.5833333333333334;0.0;0.0;3.5;3.5
04ddc6d8c8a0d19b0bbecc287f15f39b8c9d0795;0.0;0.0;0.0;1.0;0.0;2.833333333333333;1.5;0.0;0.5;0.5;0.0;0.5;0.75;0.0;0.5;0.6388888888888888;1.5;0.0;3.0;3.833333333333333
084446117d0ab708d724abbe76e58340d13dc899;0.0;0.0;1.0;2.833333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6388888888888888;0.0;0.0;0.0;3.833333333333333
0b2b215d3895dc070ff308ca5d5733bb0abda40f;0.0;0.0;2.0;2.0;0.0;7.125;29.7;0.0;0.0;6.833333333333332;0.0;2.333333333333333;14.85;0.0;6.477777777777778;1.8541666666666667;29.7;0.0;38.86666666666667;11.125
0c2eedb86a7888c7defd056d073fc040a338eec3;0.0;0.0;2.0;2.5;0.0;3.0;0.5;0.0;0.0;9.833333333333332;0.5;3.0;0.25;0.0;2.3055555555555554;1.25;0.5;0.0;13.833333333333332;7.5
0c51503c95c50eeaf97615b29561f75e0d6d60c3;0.0;0.0;2.0;0.5;0.5;1.0;0.0;0.0;7.499999999999999;0.0;10.166666666666666;0.0;0.0;0.0;2.944444444444444;0.6666666666666666;0.0;0.0;17.666666666666664;4.0
0ca06f2f6d203a8c20ee3d33c95ce3a1c9550356;0.5;0.0;0.5;0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.3333333333333333;0.0;0.5;0.0;2.0
0cec4107a713477189bb82d9d34b81190cb1201b;0.0;0.0;1.8333333333333333;0.0;2.75;2.5;0.5;0.0;0.0;0.0;5.0;1.0;0.25;0.0;1.0833333333333333;1.1805555555555556;0.5;0.0;6.5;7.083333333333333
0de822bddc1dd72a3230320f51b10b9f7a509869;0.0;0.0;0.0;0.0;0.0;2.5;0.0;0.0;7.999999999999999;13.000000000000002;0.0;0.0;0.0;0.0;3.5;0.4166666666666667;0.0;0.0;21.0;2.5
0e5e2419246434693bfda4a7c0c42bf8f6a75339;1.3333333333333333;0.0;0.0;2.5;1.3333333333333333;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.9444444444444443;0.0;1.3333333333333333;0.0;5.666666666666666
0e874cd0ec2bac9c0fde37da1d71d9f9c0456023;0.0;0.0;7.333333333333333;2.5;2.833333333333333;15.083333333333334;2.0;0.0;0.0;1.5;0.5;24.999999999999996;1.0;0.0;4.833333333333333;4.625;2.0;0.0;28.999999999999996;27.75
0ebaaad003868565710d1724cb582f41ed3aa598;0.0;0.0;0.0;1.8333333333333333;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.38888888888888884;0.0;0.0;0.5;2.333333333333333
0f88be4b4d0a31605c539532fce08ed600190170;0.0;0.0;2.0;1.0;1.0;0.5;1.8333333333333333;0.0;0.0;1.0;2.6666666666666665;0.0;0.9166666666666666;0.0;0.9166666666666666;0.75;1.8333333333333333;0.0;5.5;4.5
0fc86b6a1afaad8cc203fac7e27c55097c310937;0.0;0.0;0.0;0.0;4.166666666666667;0.0;4.5;0.5;0.0;0.0;0.0;6.0;2.5;0.0;1.8333333333333333;0.6944444444444445;5.0;0.0;11.0;4.166666666666667
107e619e6f2a5a39e729d6ffaa91b43d2be99edf;0.0;0.0;0.0;3.0;0.0;0.0;11.0;5.0;0.5;0.0;0.0;0.5;8.0;0.0;2.8333333333333335;0.5;16.0;0.0;17.0;3.0
11a155325f353f226a2e2f1ac11eb3aa5351b146;0.0;0.0;0.0;0.5;0.0;1.8333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.38888888888888884;0.0;0.0;0.0;2.333333333333333
1390c5e2235f7bf89d0e6af7570654c3fa81a50e;0.0;0.0;2.0;0.0;2.6666666666666665;3.75;46.03333333333333;2.0;120.81666666666672;109.53174603174607;36.68333333333334;38.68333333333333;24.016666666666666;0.0;58.958068783068796;1.4027777777777777;48.03333333333333;0.0;353.7484126984128;8.416666666666666
139c29eaf2bf6ea4e53e4a9f895ad1199b063548;0.0;4.666666666666667;0.0;1.0;0.0;1.3333333333333333;4.5;0.0;3.5;3.0;0.0;0.5;2.25;2.3333333333333335;1.9166666666666667;1.1666666666666667;4.5;4.666666666666667;11.5;7.0
15a781a47074cd944066e0eae974606082fc9788;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.5
15b943b08735673bf26c83a3211e0dcdbe4014e0;0.0;0.0;4.0;1.5;14.408333333333331;10.5;4.0;0.0;16.66666666666667;3.833333333333333;1.5;11.0;2.0;0.0;6.166666666666667;5.0680555555555555;4.0;0.0;37.0;30.40833333333333
15c790d885b3c3fbf73e766b09fe14cb31b34d63;0.0;0.0;0.0;2.0;0.0;0.5;0.5;5.142857142857143;1.0;0.5;1.0;6.0;2.8214285714285716;0.0;2.357142857142857;0.4166666666666667;5.642857142857143;0.0;14.142857142857142;2.5
1617cb7fffc171ccfb7a8a377fb8ed9188bebe0d;0.0;0.0;2.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.08333333333333333;0.3333333333333333;0.5;0.0;0.5;2.0
1655907b46332e9bf59fd3792dffea88f661da4d;0.0;13.283333333333335;0.0;1.8333333333333333;0.0;2.5;16.866666666666667;0.0;0.0;0.5;0.5;8.0;8.433333333333334;6.6416666666666675;4.311111111111111;2.9361111111111113;16.866666666666667;13.283333333333335;25.866666666666667;17.616666666666667
1697b3ab314a9d0523a560fb62094ecc8b34c55f;0.0;0.0;2.0;1.3333333333333333;0.5;3.333333333333333;0.5;0.0;0.0;1.5;2.0;3.5;0.25;0.0;1.25;1.1944444444444444;0.5;0.0;7.5;7.166666666666666
16d9298309705bb8ce82f1f11aa45a893548b88a;0.0;0.0;2.0;2.0;3.333333333333333;0.5;39.00000000000001;0.0;0.0;3.5;0.0;3.75;19.500000000000004;0.0;7.708333333333335;1.3055555555555556;39.00000000000001;0.0;46.25000000000001;7.833333333333333
1933eef337e0dad01d6f7dadc966c42abda9d7a5;0.0;0.0;20.571428571428573;5.0;1.5;11.61111111111111;2.25;0.0;20.0;0.0;0.0;1.3333333333333333;1.125;0.0;3.9305555555555554;6.447089947089947;2.25;0.0;23.583333333333332;38.682539682539684
198314c2ae4294f0607d2c85c1e50817f69c6613;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.16666666666666666;0.08333333333333333;0.0;0.0;1.0;0.5
199166168078f1058210fb1ed2f424a0fd37b7cf;0.0;0.0;0.0;2.0;1.3333333333333333;1.0;3.0;0.0;0.5;0.0;0.0;0.0;1.5;0.0;0.5833333333333334;0.7222222222222222;3.0;0.0;3.5;4.333333333333333
19a941d7bba8f42a286f5249358a6e49d06101cc;0.0;0.0;109.14814814814815;1.5;1.3333333333333333;2.333333333333333;6.0;11.816666666666668;0.0;0.5;0.0;20.75;8.908333333333335;0.0;6.511111111111112;19.05246913580247;17.81666666666667;0.0;39.06666666666667;114.31481481481481
1a676b4c17bf88842f0bb342f6a115f5bf3abba9;0.0;0.0;7.333333333333333;0.5;1.0;1.8333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7777777777777777;0.0;0.0;0.0;10.666666666666666
1ad9edc00d9ebb99dd584bc7702d51428456e6db;0.0;0.0;0.0;0.0;5.642857142857143;2.0;15.500000000000002;11.45;0.0;0.0;0.0;7.666666666666666;13.475000000000001;0.0;5.769444444444445;1.273809523809524;26.950000000000003;0.0;34.61666666666667;7.642857142857143
1daf3808a0069a2ee28993bb7b4358f05d35d5d4;0.0;0.0;0.0;0.0;3.2;1.5;0.5;4.5;25.333333333333336;3.5;4.166666666666666;0.0;2.5;0.0;6.333333333333333;0.7833333333333333;5.0;0.0;38.0;4.7
20c9374598da999068e755c6651799d960f81954;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.5;0.0;2.25;0.0;0.0;0.4583333333333333;0.3333333333333333;0.0;0.0;2.75;2.0
20ece659e4a299b8be3c7d42aadc6edbdf358d08;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;2.0
21dab4c1463f923623b244ac4c19f58c41bc46bc;0.0;0.0;2.0;0.5;0.0;8.166666666666666;0.0;0.5;0.0;0.0;0.0;0.5;0.25;0.0;0.16666666666666666;1.7777777777777777;0.5;0.0;1.0;10.666666666666666
223e47f9cba0cfb0c1fd36160189bdcdd5fb3ae0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.6666666666666666;0.0;0.0;1.0;4.0
24d8a641417c3d9b096f69b4afc2f647c5dc1265;0.0;3.2;2.0;0.5;9.666666666666668;2.0;0.5;0.0;3.5;1.0;2.5;5.0;0.25;1.6;2.0833333333333335;2.8944444444444444;0.5;3.2;12.5;17.366666666666667
250f90922642dce6892783fe11a3cbaf5e917cb1;0.0;0.0;2.0;2.5;0.0;0.0;0.0;0.5;0.0;0.5;0.0;0.0;0.25;0.0;0.16666666666666666;0.75;0.5;0.0;1.0;4.5
25fe012692240da59936ab2cd702848f6ab41d7f;0.0;0.0;0.0;2.5;0.0;3.25;0.5;0.0;0.0;0.0;0.0;7.166666666666666;0.25;0.0;1.2777777777777777;0.9583333333333334;0.5;0.0;7.666666666666666;5.75
260bb5e515632f23d4a975dca9caff206e84bb87;0.0;0.5;1.0;2.0;0.0;4.333333333333333;0.0;0.0;27.999999999999996;13.833333333333334;33.33333333333333;2.0;0.0;0.25;12.861111111111109;1.3055555555555556;0.0;0.5;77.16666666666666;7.833333333333333
26455cd1ecb5229a5e1d69f5c4c845da30ed54c9;0.0;0.0;2.0;2.0;0.5;2.0;0.5;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.08333333333333333;1.0833333333333333;0.5;0.0;0.5;6.5
270e0b07846ed7becbdb27ff75dffe53de21d3e0;0.0;0.5;2.0;2.0;0.0;3.333333333333333;3.1666666666666665;0.0;1.5;1.5;2.5;0.0;1.5833333333333333;0.25;1.4444444444444444;1.3055555555555556;3.1666666666666665;0.5;8.666666666666666;7.833333333333333
277a52b85746c8b6ed956104bcc81523056b5633;0.0;0.0;0.0;5.999999999999999;2.6666666666666665;1.3333333333333333;0.0;4.0;0.0;0.5;0.0;0.0;2.0;0.0;0.75;1.6666666666666667;4.0;0.0;4.5;10.0
2892d3dbc857f6742361415ebd37d0dde3eeb077;0.0;0.0;2.833333333333333;2.6666666666666665;0.0;2.333333333333333;7.5;0.0;0.0;7.333333333333333;0.0;5.5;3.75;0.0;3.388888888888889;1.3055555555555556;7.5;0.0;20.333333333333332;7.833333333333333
2ac9c3d2e2b75c154ab4ea8cc2bad9087497e779;0.0;0.0;2.0;1.0;0.0;1.8333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8055555555555555;0.0;0.0;0.0;4.833333333333333
2adc3e45fc704d8286cf0b39376b823871ed8484;0.0;0.0;0.0;0.0;0.5;1.8333333333333333;0.0;0.0;1.3333333333333333;0.0;0.0;14.0;0.0;0.0;2.555555555555556;0.38888888888888884;0.0;0.0;15.333333333333334;2.333333333333333
2c22b20e671dbf5ab6f9c84da21690f72cbed8ef;0.0;0.0;2.0;0.5;0.0;0.0;2.5;0.5;0.0;1.0;0.0;0.0;1.5;0.0;0.6666666666666666;0.4166666666666667;3.0;0.0;4.0;2.5
2c590c72ae298d0eb8d06d1eec09a191fb0dd949;0.0;0.0;2.5;1.5;0.0;0.0;0.0;0.0;0.0;2.0;2.25;1.0;0.0;0.0;0.875;0.6666666666666666;0.0;0.0;5.25;4.0
2d1e7e329d49709107b3cc3a54e79ecd10734d88;0.0;1.8333333333333333;2.6666666666666665;0.0;2.333333333333333;1.0;0.0;0.0;28.083333333333332;1.5;0.0;0.0;0.0;0.9166666666666666;4.930555555555555;1.3055555555555556;0.0;1.8333333333333333;29.583333333333332;7.833333333333333
2d7848bb411c2d1dfe75ddd2c095195b42110776;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;1.0
2d8ae2ab222603a73f98853020208a89c7cef84d;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;0.0;0.0;0.0;0.25;0.3333333333333333;0.0;0.0;1.5;2.0
2e26f875a0ef7b1f5682286d9dd0543997d7c42c;0.0;0.0;2.0;4.999999999999999;0.5;1.0;1.5;0.0;0.0;0.0;0.0;0.5;0.75;0.0;0.3333333333333333;1.4166666666666667;1.5;0.0;2.0;8.5
2fcd57e994ce4e99ea705980aa0f47d3307e3ab7;0.0;1.3333333333333333;0.0;0.5;6.4;2.6666666666666665;0.5;0.0;0.0;0.5;0.0;14.5;0.25;0.6666666666666666;2.5833333333333335;1.8166666666666667;0.5;1.3333333333333333;15.5;10.9
3041a53686abd2d37493352be2b24a14c40071a8;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;3.0
31581b9b01d2fa566b8c69efc227c6bd676e574e;0.0;0.0;0.0;0.5;1.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.08333333333333333;0.3055555555555555;0.0;0.0;0.5;1.8333333333333333
343ccf52c9595fbe9cbe44606f9d7903307e24a3;0.0;0.0;3.5;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;4.5
347d33b6e5785dc56109485ce720e361d0a4a675;0.0;0.0;0.5;1.0;0.0;7.611111111111111;0.0;0.0;0.0;0.5;0.5;1.0;0.0;0.0;0.3333333333333333;1.5185185185185184;0.0;0.0;2.0;9.11111111111111
34be5a53134a4e68dae61bf2fac1ba4c91030569;0.0;1.3333333333333333;0.0;2.0;0.0;13.25;99.33333333333324;0.5;19.0;2.333333333333333;0.5;16.583333333333336;49.91666666666662;0.6666666666666666;23.041666666666654;2.763888888888889;99.83333333333324;1.3333333333333333;138.24999999999991;16.583333333333332
36705719323335eb34505b09f49cefde478d0252;0.0;0.0;0.0;0.0;1.3333333333333333;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.38888888888888884;0.0;0.0;0.0;2.333333333333333
36e1da1b027e8da8c46ffbb07b0a8d1e7d197a86;0.0;4.533333333333333;2.0;6.499999999999999;0.0;0.0;3.0;0.0;0.0;2.25;0.0;3.833333333333333;1.5;2.2666666666666666;1.5138888888888886;2.172222222222222;3.0;4.533333333333333;9.083333333333332;13.033333333333331
3822f5f3419d90d1d6abd392e34252539867b977;0.0;0.0;0.0;1.0;0.0;11.0;14.666666666666668;0.5;0.0;0.5;4.0;0.0;7.583333333333334;0.0;3.277777777777778;2.0;15.166666666666668;0.0;19.666666666666668;12.0
38a2e1976989130b93cd07a1336fb4a7f6d78ccd;0.0;0.0;2.0;2.0;1.0;1.0;143.66666666666677;2.5;12.0;0.5;2.0;0.0;73.08333333333339;0.0;26.777777777777796;1.0;146.16666666666677;0.0;160.66666666666677;6.0
38da134c1fae87f8777176da8840445f10def983;0.0;1.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;5.166666666666666;0.0;0.5;0.0;0.5;0.9444444444444443;0.25;0.0;1.0;5.666666666666666;1.5
3932b8c4b8eceb9304e1273203288b7344a72e1c;0.0;0.0;0.0;2.5;0.5;3.0;5.5;0.5;10.5;0.0;0.0;0.0;3.0;0.0;2.75;1.0;6.0;0.0;16.5;6.0
39d054a15ed725d77edf691e802c5b3222f42c9f;0.0;0.0;1.8333333333333333;2.0;0.5;2.333333333333333;0.5;5.5;0.0;0.0;0.0;0.0;3.0;0.0;1.0;1.111111111111111;6.0;0.0;6.0;6.666666666666666
3d5924dc0067c7236dc1c9317ce16d9c52cd3c14;0.0;0.0;0.0;1.0;1.0;1.5;3.0;4.5;0.0;1.5;8.083333333333334;4.166666666666666;3.75;0.0;3.5416666666666665;0.5833333333333334;7.5;0.0;21.25;3.5
3e11348b68914f93fc74cde47fbcf05cc4b2867d;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3e153ba5e93176a5402d30722e402771b771bf55;0.0;0.0;2.0;1.3333333333333333;0.0;3.2;0.0;0.0;0.0;0.0;0.0;12.333333333333334;0.0;0.0;2.055555555555556;1.0888888888888888;0.0;0.0;12.333333333333334;6.533333333333333
406d5a7eb8631d2290294c40711318b956ed54fd;0.0;0.5;0.5;0.5;3.1666666666666665;8.416666666666666;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.25;0.08333333333333333;2.1805555555555554;0.0;0.5;0.5;13.083333333333332
409cbf4bc16c594da820d29c743f14a10e7919f1;0.0;0.0;0.0;0.5;0.0;5.999999999999999;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.08333333333333333;1.0833333333333333;0.0;0.0;0.5;6.499999999999999
4128c27a816942a5871946e8691a7183b59429a9;0.0;0.0;2.0;1.5;0.5;1.3333333333333333;1.3333333333333333;0.0;0.0;0.5;2.6666666666666665;2.25;0.6666666666666666;0.0;1.125;0.8888888888888888;1.3333333333333333;0.0;6.75;5.333333333333333
42fe0cd21665026551f4802887b10b11b48e883a;0.0;1.0;2.833333333333333;1.0;2.75;9.583333333333332;7.333333333333333;0.5;0.0;0.0;0.0;1.0;3.9166666666666665;0.5;1.472222222222222;2.8611111111111107;7.833333333333333;1.0;8.833333333333332;17.166666666666664
432d6f1cb419a77afaef67325d541f506d80cec7;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.16666666666666666;0.0;0.0;1.0;1.0
43ddbe9de85fe609a1ecc56a76dbcddb0f52d8c1;0.0;0.5;0.0;0.0;1.8333333333333333;5.7;2.5;0.0;0.0;1.0;2.0;0.0;1.25;0.25;0.9166666666666666;1.3388888888888888;2.5;0.5;5.5;8.033333333333333
444500e9b1f9ba58a2d0653d8ccdb0cf46debca7;0.0;0.5;1.3333333333333333;2.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.25;0.25;0.08333333333333333;0.6388888888888888;0.5;0.5;0.5;3.833333333333333
4542f79f46c1e57daf32196b082986d08d6addda;0.0;0.0;0.0;0.0;0.0;2.6666666666666665;1.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.2222222222222222;0.4444444444444444;1.3333333333333333;0.0;1.3333333333333333;2.6666666666666665
469ce5ae9862c2ae31c75a1404a8b03af40db5ba;0.0;0.0;0.0;0.5;4.533333333333333;0.0;7.0;7.0;0.5;0.0;1.0;1.0;7.0;0.0;2.75;0.8388888888888889;14.0;0.0;16.5;5.033333333333333
4a181b8a0daafd8c1c8b971d48fb20139cc2e58e;0.0;0.0;0.0;1.0;3.1666666666666665;11.5;4.75;1.3333333333333333;178.72341269841277;3.833333333333333;2.75;12.833333333333332;3.0416666666666665;0.0;34.03723544973547;2.611111111111111;6.083333333333333;0.0;204.2234126984128;15.666666666666666
4b8cafbb2f0acbe010290da14340378e9c684d75;0.0;0.0;0.0;1.0;0.0;5.0;0.0;0.5;3.5;3.0;0.0;0.5;0.25;0.0;1.25;1.0;0.5;0.0;7.5;6.0
4be2bd63e16a633b451b15c7c4721b46d35da827;0.0;0.0;0.0;0.5;0.0;0.0;8.0;0.5;13.5;3.0;0.0;245.80476190476182;4.25;0.0;45.134126984126965;0.08333333333333333;8.5;0.0;270.8047619047618;0.5
4c0e060545d21fcedf84f937c59a97bbc71a69e3;0.0;0.0;0.0;0.0;4.083333333333333;1.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.08333333333333333;0.8472222222222222;0.0;0.0;0.5;5.083333333333333
4c948f488d593c3e166696d2b6f6347110516450;0.0;0.0;0.0;0.5;0.0;0.0;5.0;1.0;2.333333333333333;2.5;0.5;27.666666666666668;3.0;0.0;6.5;0.08333333333333333;6.0;0.0;39.0;0.5
4d304d0fc8d7287703d7e1350a77470f66984e3a;0.0;0.0;7.333333333333333;2.5;0.0;7.4;2.0;4.5;3.0;0.0;2.333333333333333;1.0;3.25;0.0;2.138888888888889;2.8722222222222222;6.5;0.0;12.833333333333332;17.233333333333334
4d3e16e24096cd5e30e393ecb9f049662806f603;0.0;0.5;4.0;8.7;1.5;3.833333333333333;2.333333333333333;0.0;5.666666666666666;1.5;0.0;0.0;1.1666666666666665;0.25;1.5833333333333333;3.0888888888888886;2.333333333333333;0.5;9.5;18.53333333333333
4e6375572baa7b596e96b115bbff4f03ff44ed9a;0.0;2.25;9.0;1.0;1.3333333333333333;4.166666666666666;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.125;0.16666666666666666;2.9583333333333335;0.0;2.25;1.0;17.75
